document,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
27,,,,0.16003714501857758,0.472701758146286,,,,0.056245747953653336,,,,0.019683338701725006,,0.26737603545188904,0.010295412503182888
28,0.05011582747101784,,,0.011235659942030907,0.7469083666801453,,,,0.14391255378723145,,,,,,0.02414107508957386,
29,,,,0.17960217595100403,0.42094627022743225,,,,,,,,0.12050279229879379,,0.24957230687141418,
30,,,,0.044888850301504135,0.2934328317642212,,,0.16401098668575287,0.01612245850265026,,,,0.028601262718439102,,0.2616499662399292,0.18511082231998444
31,0.01312412228435278,,0.09525523334741592,0.2198515683412552,0.2498093545436859,,,,0.13802364468574524,,,,,,0.26278918981552124,
32,,,0.03162890300154686,0.34170374274253845,0.3001922070980072,,,0.013689128682017326,0.051849931478500366,,,,0.02027283050119877,,0.23566333949565887,
33,,,,0.023085394874215126,0.5402239561080933,,,,,0.05976497754454613,,,0.010098396800458431,,0.3554205298423767,
34,,,0.03269070014357567,0.03146553039550781,0.407369464635849,,,0.012811386026442051,0.022969849407672882,,,,0.14362527430057526,,0.15368351340293884,0.1899799406528473
35,,,,0.024073276668787003,0.3335912525653839,,,,,,,,,,0.38318631052970886,0.23992128670215607
36,,,,0.051177337765693665,0.3542563021183014,,,,,,,,,0.04046770557761192,0.5217915177345276,0.014345366507768631
37,,,,0.19673720002174377,0.3387587368488312,,,,0.01944289170205593,,,,0.18427620828151703,,0.24795864522457123,
38,,,,0.09740632772445679,0.4595954418182373,,,0.045097872614860535,,,,,0.06058651581406593,,0.3183508813381195,
39,,,0.17594990134239197,0.010033314116299152,0.4236343204975128,,,,,,,,0.1111268475651741,,0.1939479410648346,0.06941111385822296
40,,,,0.02030283212661743,0.6047266721725464,,,0.24114245176315308,,,,,,,0.11126306653022766,
41,,,,0.0951613187789917,0.5530108213424683,,,,,,,0.01275657769292593,0.07432198524475098,,0.2447977066040039,
42,,,,0.07248107343912125,0.349780410528183,,,,,,,,0.031810227781534195,,0.5342873930931091,
43,,0.015176193788647652,,0.3980760872364044,0.2958855926990509,,,0.03171837702393532,,,,,0.026289192959666252,0.02110164612531662,0.20519974827766418,
44,,,,0.026513690128922462,0.2666255831718445,,,,0.22442452609539032,,,,0.07193074375391006,0.015317296609282494,0.3838750123977661,
45,,,,0.017294876277446747,0.18287786841392517,,,0.012009560130536556,,,,,0.04144365340471268,0.022104300558567047,0.7130400538444519,
46,,,,0.21701982617378235,0.5420504212379456,,,,,,,,0.1676533818244934,,0.051519881933927536,
47,,,,0.3233964741230011,0.29923638701438904,,,,,,0.013502242043614388,,,,0.27667301893234253,0.06227507442235947
48,0.01377991121262312,,,0.034270212054252625,0.6492176651954651,,,0.11935392022132874,,,,,,0.09403581917285919,0.06322897225618362,
49,,,,0.018096022307872772,0.2812090814113617,,,,0.015414698980748653,,,,0.03434513881802559,,0.6147529482841492,0.029431337490677834
50,,,,0.025367815047502518,0.44283872842788696,,,,0.19326195120811462,,,,,,0.32403719425201416,
51,,,0.010910047218203545,0.018752777948975563,0.21609312295913696,,,0.051949065178632736,0.030307287350296974,,,,0.06367671489715576,,0.6001782417297363,
52,,,,0.2188185155391693,0.6099636554718018,,,,0.035376179963350296,,0.05823643505573273,,0.033117327839136124,,0.0288007240742445,
53,,,,0.0303029865026474,0.5044900178909302,,,0.011682707816362381,0.14250192046165466,,,,0.017745638266205788,,0.2844778597354889,
54,,0.08378170430660248,,0.05543268844485283,0.3881188929080963,0.014900741167366505,,,,,,,0.053464941680431366,,0.3823470175266266,
55,,,,0.03701510652899742,0.38533854484558105,,,,0.055232200771570206,,,,,,0.29400426149368286,0.20461782813072205
