document,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
99,0.05630003288388252,0.9108377695083618,,,,,,,,,,,,,,
100,,,0.45676812529563904,,,,,,0.039162274450063705,0.2024022936820984,0.06793433427810669,,,0.21243847906589508,,
101,,,0.5904754996299744,,,0.17802336812019348,,,,0.19932538270950317,,,,,,
102,0.1468016356229782,0.1298697292804718,0.31427520513534546,,,,,,,0.3874826431274414,,,,,,
103,,,0.6045621037483215,,,,,,,0.22531010210514069,,,0.13466231524944305,,,
104,,0.0314343236386776,0.12859082221984863,,,0.22930680215358734,,,,0.12828435003757477,0.05761777237057686,,0.21131983399391174,0.08619304746389389,,0.12026447802782059
105,0.05675407871603966,0.03431616351008415,0.2054528295993805,,0.028625650331377983,0.10612931102514267,0.01076484750956297,,0.03398359566926956,0.22784210741519928,,,0.2383815050125122,0.0396907776594162,,
106,0.019742179661989212,0.1000986248254776,0.16912177205085754,0.023409627377986908,0.037057846784591675,,,,,0.36430197954177856,,,0.11445064097642899,0.03313139081001282,,0.1282568871974945
107,,0.028443997725844383,0.2861793637275696,,,0.02904774621129036,,,,0.1117224171757698,0.12211448699235916,,0.07365094870328903,0.14348383247852325,,0.2007070779800415
108,,,0.0687270238995552,,0.21745267510414124,0.4861550033092499,0.10925786197185516,,,0.06819284707307816,,,0.011459333822131157,0.010383540764451027,,
109,,,0.12326166778802872,,0.23839539289474487,,,,,0.07488282769918442,0.5337767004966736,,,0.017138350754976273,,
110,,0.029672103002667427,0.4874318838119507,,,0.1785401552915573,0.0300347488373518,,0.07240358740091324,0.03292457014322281,0.03672341629862785,,,,,0.11686835438013077
111,,,0.3605503439903259,,0.05006638541817665,0.04390207678079605,0.0774037316441536,,,0.23899181187152863,0.06633491069078445,,0.015464197844266891,0.1047007367014885,,0.03972263261675835
112,,0.1290464550256729,0.5619792342185974,0.031237700954079628,,0.11108336597681046,,,0.028497599065303802,0.04007469117641449,0.07341388612985611,,,,,
113,,,0.16462154686450958,,0.21929405629634857,0.19383063912391663,,,,0.3586674630641937,,,,0.04397591948509216,,
114,,,0.36319199204444885,,0.06236761435866356,0.17663218080997467,0.04783428832888603,,,,0.21477454900741577,,0.10021637380123138,0.02413807064294815,,
115,,,0.1471523940563202,,0.13572989404201508,0.2965661883354187,,,,0.08974641561508179,0.13087821006774902,,0.09530219435691833,0.09563162177801132,,
116,,0.0958554670214653,0.20814071595668793,,0.1249677985906601,0.08490682393312454,,,0.06235956400632858,0.19446521997451782,0.03417807072401047,,0.06539200246334076,0.12012027204036713,,
